id,name,unit,price,oldPrice,category,emoji,badge,variants,stock
102,White Sesame Seeds - 100gm,,170,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/w/h/white-sesame-seeds-100g-removebg-preview.png,PROMO,,298
103,White Pepper Whole (Sufaid Mirch) - 50gm,,210,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/0/_09139_1.jpg,PROMO,,301
104,White Lobia - 500gm,,230,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/7/0/70141.jpg,PROMO,,304
105,White Chana - 500gm,,230,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/w/h/white_chana_-_500gm.jpg,PROMO,,307
106,White Chana - 1kg,,450,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/w/h/white_chana_-_1kg.jpg,PROMO,,310
107,Turmeric (Haldi) - 200gm,,245,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/t/u/turmeric__haldi__-_250gm.jpg,PROMO,,313
108,Tullo Cooking Oil - 1Ltr,,615,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/t/u/tullo_-_tullo_cooking_oil_1l.jpg,PROMO,,316
109,Tullo Banaspati Ghee - 5kg,,3050,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/t/u/tullo_-_tullo_banaspati_ghee_5kg.jpg,PROMO,,319
110,Tullo Banaspati Ghee - 1kg,,610,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/1/_10387.jpg,PROMO,,322
111,Tamarind (Imli) - 250gm,,240,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/0/_09135_1_1.jpg,PROMO,,325
112,Tabasco Pepper Sauce - 60ml,,795,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/0/1/011210000018_2_.jpg,PROMO,,328
113,Tabasco Pepper Sauce - 60ml,,800,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/0/_09033.gif,PROMO,,331
114,Tabasco Pepper Sauce - 60ml,,800,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/d/s/dsc_6178_1.jpg,PROMO,,334
115,Syma's Pizza Crust Medium (10 Inches),,160,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/1/0/1019542-1.jpg,PROMO,,337
116,Syma's Pizza Crust Large (12 Inches),,190,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/1/0/1019366-1.jpg,PROMO,,340
117,Suree Thai Red Curry Paste - 400gm,,1360,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/8/8850344210106_-_1_5.JPG,PROMO,,343
118,Suree Thai Green Curry Paste - 400gm,,1360,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/8/8850344210113_-_1_4.JPG,PROMO,,346
119,Suree Thai Coconut Premium Cream - 400ml,,595,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/1/_10425.jpg,PROMO,,349
120,Suree Tamarind Chutney Premium - 150ml,,490,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/8/8850344004040_-_1_5.JPG,PROMO,,352
121,Suree Sweet Chilli Dipping Sauce - 435ml,,1435,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/0/8/08880-1080x1080.jpg,PROMO,,355
122,Suree Sriracha Chilli Sauce Extra Hot - 435ml,,1495,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/8/8850344000271_-_1_5.JPG,PROMO,,358
123,Suree Spring Roll Sauce - 150ml,,490,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/8/8850344000059_-_1_5.JPG,PROMO,,361
124,Suree Sesame Oil - 295ml,,1800,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/0/_09027.gif,PROMO,,364
125,Suree Rice Sticks 5mm - 400gm,,800,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/8/8850344321475_-_1_5.JPG,PROMO,,367
126,Suree Rice Sticks 1mm - 400gm,,800,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/w/h/whatsapp-image-2020-10-08-at-2.44.45-pm-1.jpg,PROMO,,370
